Master Ball	0001
Ultra Ball	0002
Great Ball	0003
Poke Ball	0004
Safari Ball	0005
Net Ball	0006
Dive Ball	0007
Nest Ball	0008
Repeat Ball	0009
Timer Ball	000A
Luxury Ball	000B
Premier Ball	000C
Cherish Ball	00EF
Dusk Ball	00F0
Heal Ball	00F1
Quick Ball	00F2
Fast Ball	00F3
Level Ball	00F4
Lure Ball	00F5
Heavy Ball	00F6
Love Ball	00F7
Friend Ball	00F8
Moon Ball	00F9
Sport Ball	00FA
Beast Ball	00FB
Dream Ball	00FC
Park Ball	00FD
	
Link Cable	0057
Sun Stone	005D
Moon Stone	005E
Fire Stone	005F
Thunder Stone	0060
Water Stone	0061
Leaf Stone	0062
Shint Stone	0063
Dusk Stone	0064
Dawn Stone	0065
Ice Stone	0066
Prism Scale	00B0
Kings Rock	00BB
Metal Coat	00C7
Upgrade	00DA
	
Potion	000D
Super Potion	0016
Hyper Potion	0015
Max Potion	0014
Repel	0056
Super Repel	0053
Max Repel	0054
Antidote	000E
Burn Heal	000F
Ice Heal	0010
Awakening	0011
Parlyz Heal	0012
Full Heal	0017
Full Restore	0013
Revive	0018
Max Revive	0019
Fresh Water	001A
Soda Pop	001B
Lemonade	001C
Moomoo Milk	001D
Energy Powder	001E
Energy Root	001F
Heal Powder	0020
Revival Herb	0021
Ether	0022
Max Ether	0023
Elixer	0024
Max Elixer	0025
Lava Cookie	0026
Blue Flute	0027
Yellow Flute	0028
Red Flute	0029
Black Flute	002A
White Flute	002B
Berry Juice	002C
Sacred Ash	002D
RageCandyBar	0034
Old Gateau	0035
CasteliaCone	0036
ShalourSable	0038
Big Malasada	0052
HP UP	003F
Protein	0040
Iron	0041
Carbos	0042
Calcium	0043
Zinc	0046
Rare Candy	0044
PP Up	0045
PP Max	0047
Escape Rope	0055
HP Wing	0039
Attack Wing	003A
Defense Wing	003B
SpAtk Wing	003C
SpDef Wing	003D
Speed Wing	003E
Ability Pill	0048
Ability Patch	0037
Reaper Cloth	005C
Razor Claw	0077
Razor Fang	0078
	
Cheri Berry	0085
Chesto Berry	0086
Pecha Berry	0087
Rawst Berry	0088
Aspear Berry	0089
Leppa Berry	008A
Oran Berry	008B
Persim Berry	008C
Lum Berry	008D
Sitrus Berry	008E
Figy Berry	008F
Wiki Berry	0090
Mago Berry	0091
Aguav Berry	0092
Iapapa Berry	0093
Liechi Berry	00A8
Ganlon Berry	00A9
Salac Berry	00AA
Petaya Berry	00AB
Apicot Berry	00AC
Lanset Berry	00AD
Starf Berry	00AE
Occa Berry	01BE
Passho Berry	01BF
Wacan Berry	01C0
Rindo Berry	01C1
Yache Berry	01C2
Chople Berry	01C3
Kebia Berry	01C4
Shuca Berry	01C5
Coba Berry	01C6
Payapa Berry	01C7
Tanga Berry	01C8
Charti Berry	01C9
Kasib Berry	01CA
Haban Berry	01CB
Colbur Berry	01CC
Babiri Berry	01CD
Chilan Berry	01CE
Micle Berry	01CF
Custap Berry	01D0
Jacoba Berry	01D1
Rowap Berry	01D2
Roseli Berry	01D3
Kee Berry	01D4
Marang Berry	01D5
	
Bright Powder	00B3
White Herb	00B4
Macho Brace	00B5
Quick Claw	00B7
Soothe Bell	00B8
Mental Herb	00B9
Choice Band	00BA
Silver Powder	00BC
Amulet Coin	00BD
Cleanse Tag	00BE
Soul Dew	00BF
Deep Sea Tooth	00C0
Deep Sea Scale	00C1
Smoke Ball	00C2
Everstone	00C3
Focus Band	00C4
Lucky Egg	00C5
Scope Lens	00C6
Leftovers	00C8
Light Ball	00CA
Soft Sand	00CB
Hard Stone	00CC
Miracle Seed	00CD
Black Glasses	00CE
Black Belt	00CF
Magnet	00D0
Mystic Water	00D1
Sharp Beak	00D2
Poison Barb	00D3
Nevermelt Ice	00D4
Spell Tag	00D5
Twisted Spoon	00D6
Charcoal	00D7
Dragon Fang	00D8
Silk Scarf	00D9
Shell Bell	00DB
Sea Incense	00DC
Lax Incense	00DD
Lucky Punch	00DE
Metal Powder	00DF
Thick Club	00E0
Leek Stick	00E1
Wide Lens	02A1 
Muscle Band	02A2 
Wise Glasses	02A3
Expert Belt	02A4
Light Clay	02A5
Life Orb	02A6 
Power Herb	02A7 
Toxic Orb	02A8 
Flame Orb	02A9 
Quick Powder	02AA 
Focus Sash	02AB 
Zoom Lens	02AC 
Metronome	02AD 
Iron Ball	02AE 
Lagging Tail	02AF
Destiny Knot	02B0 
Black Sludge	02B1 
Icy Rock	02B2 
Smooth Rock	02B3 
Heat Rock	02B4
Damp Rock	02B5 
Grip Claw	02B6 
Choice Scarf	02B7 
Choice Specs	02B8 
Sticky barb	02B9 
Shed Shell	02BA 
Big Root	02BB 
Eviolite	02BC 
Float Stone	02BD 
Rocky Helmet	02BE 
Air Balloon	02BF 
Red Card	02C0 
Ring Target	02C1 
Binding Band	02C2 
Absorb Bulb	02C3 
Cell Battery	02C4 
Eject Button	02C5 
WeaknesPolicy	02C6 
Assault Vest	02C7 
Luminous Moss	02C8 
Snowball	02C9 
Safe Goggles	02CA 
Adrenal Orb	02CB 
Terrain Ext.	02CC 
Protect Pads	02CD 
Electric Seed	02CE 
Grass Seed	02CF 
Misty Seed	02D0 
Psychic Seed	02D1 
Eject Pack	02D2 
Room Service	02D3 
Blunder Policy	02D4 
Heavy D Boots	02D5 
Ut Umbrella	02D6 
Throat Spray	02D7 
Boost Energy	0266
Loaded dice 	0267
Punch Gloves	02EB
	
Power Bracer	0282
Power Belt	0283
Power Lens	0284
Power Band	0285
Power Anklet	0286
Power Weight	0287
Luck Incense	0288
	
Full Incense	0289
Odd Incense	028A
Pure Incense	028B
Rock Incense	028C
Rose Incense	028D
Wave Incense	028E
	
Normal Gem	028F
Fighting Gem	0290
Flying Gem	0291
Poison Gem	0292
Ground Gem	0293
Rock Gem	0294 
Bug Gem	0295 
Ghost Gem	0296 
Steel Gem	0297
Fire Gem	0298 
Water Gem	0299 
Grass Gem	029A 
Electric Gem	029B 
Psychic Gem	029C 
Ice Gem	029D 
Dragon Gem	029E 
Dark Gem	029F 
Fairy Gem	02A0 
	
	
Prison Bottle	01E2
Rusty Sword	01E5
